Coding:Level1,Coding:Level2,message
Action,Action: Promo,"['All', 'invited', 'James', 'Farewell', 'Celebration', 'tonight', 'Land', 'End', '7', 'PM']"
Action,Action: Promo,"['There', 'days', 'left', 'send', 'best', 'photos', 'chance', 'appearing', 'RMP', '2011', 'calendar']"
Information,Information,"['Happy', 'Hunter']"
Community,Community: Reply,['Incredible']
Community,Community: Response,[]
Community,Community: Response,"['Good', 'Morning', 'great', 'tips', 'Project', 'Aware', 'always', 'helped', 'take', 'care', 'reef']"
Community,Community: Response,['Think']
Community,Community: Response,"['The', 'film', 'Sharkwater', 'great', 'insight', 'conservationist', 'struggle']"
Community,Community: Response,"['Do', 'think', 'true', 'Is', 'really', 'decline', 'something', 'make', 'us', 'feel', 'better', 'done', 'everyday']"
Community,Community: Thanks,"['Thank', 'video', 'beautiful']"
Community,Community: Response,"['A', 'concerned', 'conservationist', 'informed', 'us', 'someone', 'selling', 'shells', 'National', 'Marine', 'Park', 'Ebay', 'Here', 'one', 'links', '\\nWhat', 'think', 'Please', 'dont', 'forget', 'read', 'description']"
Community,Community: Response,"['A', 'concerned', 'conservationist', 'informed', 'us', 'someone', 'selling', 'shells', 'National', 'Marine', 'Park', 'Ebay', '\\n\\nHere', 'link.\\n\\nWhat', 'think', 'Please', 'dont', 'forget', 'read', 'description.\\n']"
Community,Community: Response,"['How', 'change', 'world', 'What', 'help', 'think']"
Community,Community: Response,[]
Community,Community: Response,[]
Community,Community: Response,"['Craft', 'Corner']"
Information,Information,"['Last', 'week', 'director', 'Atlantic', 'coast', 'Guatemala', 'conjunction', 'Healthy', 'Reefs', 'Initiative', 'DIPESCA', 'Fundacion', 'Mundo', 'Azul', 'Waterquest', 'dive', 'shop', 'teaching', 'local', 'fishermen', 'importance', 'sustainable', 'fishing', '\\nThere', 'strong', 'emphasis', 'shark', 'fishing/overfishing', 'number', 'one', 'income', 'many', 'coastal', 'communities', '\\nFishermen', 'also', 'taught', 'monitor', 'waters', 'trained', 'AGRRA', 'Atlantic', 'Gulf', 'coast', 'Rapid', 'Reef', 'Assessment', '\\nMarine', 'protected', 'areas', 'Sarstun', 'Punta', 'de', 'Manabique', 'closest', 'protected', 'neighbours', 'direct', 'impact', 'us', 'us', 'them.\\nThe', 'time', 'spent', 'essential', 'protection', 'entire', 'Mesoamerican', 'Reef', 'Region', 'The', 'sooner', 'realize', 'understand', 'connected', 'impacts', 'localized', 'better']"
Community,Community: Reply,"['Awesome', 'Thanks', 'Scubaba']"
Community,Community: Reply,"['Awesome', 'Briansweet', 'one', 'team', 'POP', 'life']"
Information,Information,"['Remember', 'mainstream', 'Catholic', 'countries', 'become', 'accustomed', 'enjoy', 'white', 'meat', 'Holy', 'Week', 'proven', 'organizations', 'within', 'Honduras', 'actually', 'shark', 'meat', 'consumed', '\\nRecuerde', 'que', 'en', 'los', 'pa\\xedses', 'cat\\xf3licos', 'hemos', 'acostumbrado', 'disfrutar', 'de', 'la', 'carne', 'blanca', 'en', 'la', 'Semana', 'Santa', 'esto', 'ha', 'sido', 'demostrado', 'por', 'otras', 'organizaciones', 'que', 'dentro', 'de', 'Honduras', 'es', 'realmente', 'carne', 'de', 'tibur\\xf3n.\\n\\nBe', 'safe', 'make', 'smart', 'decisions']"
Community,Community: Response,"['Cordelia', 'Banks', 'If', 'know', 'yet', 'fortunate', 'please', 'watch', 'Hopefully', 'shed', 'little', 'light', 'important', 'patrol', '24/7', 'The', 'reefs', 'need', 'help']"
Community,Community: Response,"['Just', 'realized', 'Earth', 'Hour', 'Saturday', 'Also', 'read', 'Honduras', 'planning', 'participating', 'Reco', 'Roatan', 'Electric', 'Co.', 'listening']"
Community,Community: Response,"['Support', 'Earth', 'Hour', 'using', 'free', 'school', 'action', 'kit', 'presentations', 'slideshows', 'found', 'create', 'register', 'event', 'town', 'starter', 'kit', 'clicking', 'link']"
Community,Community: Response,"['Have', 'seen', 'Bay', 'Islands', '2', 'snorkel', 'destination', 'according', 'Islands', 'Magazine', 'Thank', 'everyone', 'helps', 'us', 'protect', 'reef', 'making', 'us', 'look', 'great', 'eyes', 'world', '\\nThis', 'reef', 'need', 'protect', '\\nWe', 'actively', 'looking', 'volunteers', 'help', 'us', 'patrol', 'beach', 'cruiseship', 'days', 'SEMANA', 'SANTA', 'If', 'interested', 'please', 'comment', 'call', 'Christi', '3289', '1213', '2445', '4206\\n\\n']"
Action,Action: Promo,"['For', 'dive', 'instructors', 'forget', 'insure', 'students', 'tutelage', 'FOR', 'FREE', '\\nClick', 'site', 'follow', 'instructions', 'print', 'temporary', 'insurance', 'card']"
Information,Information,"['Starting', 'week', 'great', 'news', 'always', 'good', 'sign']"
Community,Community: Thanks,"['would', 'like', 'thank', 'entered', 'congratulate', 'winners', 'For', 'win', 'better', 'luck', 'next', 'year', 'Look', 'RMP', '2011', 'calendar', 'shelves', 'mid', 'September']"
Community,Community: Response,"['Check', 'back', 'regularly', 'see', 'submissions', 'year', 'photo', 'competition', 'Winners', 'announced', 'August', 'featured', '2010', 'RMP', 'Calendar', 'available', 'late', 'Sept.', '\\n\\nNames', 'submitters', 'shown', 'prior', 'judging', 'bias', 'results']"
Action,Action: Promo,"['captains', 'meeting', 'final', 'weekend', 'lionfish', 'derby', 'today', 'Blue', 'Marlin', '6pm', 'All', 'teams', 'must', 'attend']"
Community,Community: Thanks,"['With', 'help', 'managed', 'bring', 'almost', '1300', 'lionfish', 'Derby', 'And', 'big', 'thanks', 'everyone', 'came', 'Cook-Off', 'It', 'amazing', 'turnout', 'Let', 'hope', 'enough', 'lionfish', 'next', 'time']"
Community,Community: Thanks,"['With', 'help', 'managed', 'bring', 'almost', '1300', 'lionfish', 'Derby', 'And', 'big', 'thanks', 'everyone', 'came', 'Cook-Off', 'It', 'amazing', 'turnout', 'Let', 'hope', 'enough', 'lionfish', 'next', 'time']"
Action,Action: Promo,"['Due', 'overwhelming', 'lack', 'participation', 'Lionfish', 'Derby', 'longer', 'holding', 'cook-off', 'However', 'lionfish', 'tasting', 'still', 'held', 'Coconut', 'Tree', 'Restaurant', 'tonight', '6:30', 'pm', 'Vincent', 'Bush', 'making', 'mussels', 'stuffed', 'lionfish', 'Supplies', 'limited', 'come', 'early', 'hungry']"
Community,Community: AckCurrentEvent,"['Invitation', 'dinner', 'Dr.', 'Sylvia', 'Earle']"
Information,Information,"['This', 'video', 'used', 'educational', 'tool', 'teach', 'people', 'island', 'lionfish', 'safely', 'cleaned', 'cooked', 'good', 'alternative', 'eating', 'reef', 'fish']"
Information,Information,"['After', 'receiving', 'call', 'Jimmy', 'Camp', 'Bay', 'Park', 'Rangers', 'Police', 'sent', 'Paya', 'Bay', 'rescue', 'turtle', 'caught', 'net', 'The', 'turle', 'brought', 'west', 'end', 'measured', 'marked', 'released']"
Information,Information,"['When', 'Jacques-Yves', 'Cousteau', 'first', 'saw', 'blue', 'ocean', 'pair', 'glass', 'goggles', 'back', '1936', 'thoughts', '\\n\\u201cI', 'astounded', 'I', 'saw', 'shallow', 'shingle', 'Le', 'Mourillon', 'rocks', 'covered', 'green', 'brown', 'silver', 'forests', 'algae', 'fishes', 'unknown', 'swimming', 'crystalline', 'water', 'Standing', 'breathe', 'I', 'saw', 'trolley', 'car', 'people', 'electric-light', 'poles', 'I', 'put', 'eyes', 'civilization', 'vanished', 'one', 'last', 'bow', 'I', 'jungle', 'never', 'seen', 'floated', 'opaque', 'roof.\\u201d\\n', '\\nThis', 'gentle', 'reminder', 'every', 'time', 'us', 'ventures', 'underwater', 'jungles', 'must', 'behave', 'properly', 'demand', 'companions', 'well', 'anyone', 'would', 'art', 'museum', '\\u2013', 'seeing', 'never', 'grabbing', 'Little', 'little', 'unsupervised', 'people', 'impacting', 'delicate', 'corals', '\\n\\nIf', 'don\\u2019t', 'take', 'supervision', 'seriously', 'submarine', 'jungle', 'soon', 'look', 'better', 'electric', 'light', 'pole', 'Coxen', 'Hole']"
Information,Information,"['Short', 'Message', 'business', 'owners', 'prior', 'Semana', 'Santa', '\\n\\nThe', 'Honduran', 'Swan', 'Islands', 'constitute', 'chain', 'three', 'small', 'islands', 'located', 'northwestern', 'Caribbean', 'Sea', 'approximately', 'ninety', 'miles', 'Honduran', 'coastline', 'They', 'isolated', 'islands', 'region', 'meaning', 'located', 'far', 'away', 'island', 'Caribbean.\\n\\nWhile', 'scientific', 'expedition', 'last', 'July', 'I', 'privilege', 'visiting', 'remote', 'place', 'hoping', 'encounter', 'pristine', 'area', 'people', 'ventured', 'Although', 'scene', 'Northern', 'portions', 'islands', 'astoundingly', 'beautiful', 'story', 'wasn\\u2019t', 'South', 'Side', '\\n\\nEven', '6', 'navy', 'officers', 'actually', 'live', 'island', 'South', 'beaches', 'unexpectedly', 'covered', 'plastic', 'trash', 'brought', 'upon', 'currents', 'Our', 'cultural', 'bond', 'plastics', 'evidently', 'taking', 'lead', 'destroying', 'ecosystems', 'places', 'might', 'even', 'know', 'yet.\\n\\nWhether', 'business', 'message', 'Semana', 'Santa', 'us', 'make', 'little', 'sacrifice', 'accept', 'comply', 'simple', 'recommendations.\\n\\nPlease', 'don\\u2019t', 'sell', 'plastic', 'bottles', 'Alternatives', 'always', '\\n\\na', 'Sell', 'refreshments', 'cans', 'reciclable', 'tan', 'plastics', '.\\n\\nb', 'Serve', 'sodas', 'beers', '\\u201ccarton\\u201d', 'cups', 'plastics.\\n\\nc', 'If', 'sell', 'water', 'buy', 'enough', '5', 'gallon', 'containers', 'get', 'fountain', '\\u2013', 'instead', 'sell', 're-fills.\\n\\nd', 'If', 'sell', 'food', 'use', 'sell', '\\u201ccarton\\u201d', 'plates', 'plastics.\\n\\ne', 'Please', 'give', 'enough', 'garbage', 'cans', 'available', 'customers.\\n\\nWe', 'counting', 'make', 'difference', 'Thanks', '\\nAndr\\xe9s\\n\\n', 'photos', 'Kip', 'Evans']"
Information,Information,"['Our', 'office', 'open', 'Monday', '-', 'Friday', '8:30', '-', '5', 'If', 'questions', 'concerning', 'Lionfish', 'policy', 'programs', 'feel', 'free', 'stop', 'Our', 'doors', 'always', 'open']"
Information,Information,"['Our', 'dearest', 'followers', '\\nWe', 'regret', 'tell', 'landlines', 'telephones', 'still', 'order', 'After', 'countless', 'visits', 'Hondutel', 'still', 'without', 'vital', 'communications', '\\nWe', 'still', 'contactable', 'RMP', 'cell', 'phone', '3349-4138', 'personal', 'phones', 'numbers', 'Please', 'feel', 'free', 'call', 'report', 'anything', 'cell.\\nHaving', 'landlines', 'wo', 'hold', 'us', 'back', '\\nSincerly', '\\nRMP', 'staff']"
Action,Action: Help,"['Attention', 'lovers', 'Turtles\\nTurtles', 'danger', 'people', 'around', 'island', 'capturing', 'mating.\\nWe', 'process', 'confiscating', '4', 'sea', 'turtles', 'going', 'release', 'TODAY', 'SUNDOWNERS', 'BEACH', 'BAR', 'West', 'End.\\n\\nWe', 'past', 'buy', 'turtles', 'alive', 'price', 'meat', 'We', 'collection', 'going', 'around', 'release', 'today', 'Please', 'care', 'Sea', 'turtles', 'please', 'help', 'us', '\\nWe', 'enough', 'funds', 'The', 'Turtles', 'need', 'us']"
Action,Action: Help,"['CALLING', 'ALL', 'FREE', 'LABORERS', 'volunteers', '\\nWe', 'needing', 'help', 'Monday', 'April', '16th', 'help', 'conch', 'breeding', 'tank', '\\nWe', 'need', 'fill', 'bottom', 'sand', 'sea', 'grass', '\\nIf', 'interested', 'helping', 'contact', 'Nick', '3320', '6940', 'Christi', '3289', '1213']"
Action,Action: Promo,"['Do', 'Forget', 'offer', 'Trips', 'Glass', 'Bottom', 'Boat', 'Dolphin', 'shows', 'Maya', 'Key', 'animal', 'preserve', 'snorkeling', 'trips', 'available', '\\nIf', 'know', 'groups', 'school', 'interested', 'please', 'contact', 'Christi', '3289', '1213\\n\\nLet', 'get', 'see', 'island', 'really']"
Action,Action: Promo,"['The', 'RMP', 'hosting', 'lionfish', 'cook', 'evening', 'Coconut', 'Tree', 'Restaurant', 'Vince', 'defending', 'title', 'time', 'new', 'challengers', 'New', 'competing', 'cooks', 'Landing', 'Blue', 'Marlin', 'Fosters', 'well', 'old', 'rivals', 'Lighthouse', 'trying', 'become', 'new', 'lionfish', 'champion', 'Only', '40', 'plates', 'make', 'sure', 'eat', 'judge', '6.30', 'pm']"
Community,Community: Response,"['From', 'grant', 'PMAIB', 'RMP', '800', 'framed', 'posters', 'distributed', 'throughout', 'hotels', 'restaurants', 'businesses', 'around', 'island', 'If', 'interseted', 'informative', 'posters', 'Spanish', 'English', 'estalishments', 'please', 'contact', 'us']"
Community,Community: Thanks,"['Copyright', 'Kelly', 'Hale\\r\\nRoatan', 'Marine', 'Park', 'Annual', 'Photo', 'Competition', '2011']"
Community,Community: Thanks,"['Copyright', 'Kelly', 'Hale\\r\\nRoatan', 'Marine', 'Park', 'Annual', 'Photo', 'Competition', '2011']"
Information,Information,"['Three', 'turtles', 'rescued', 'cooking', 'pot', 'Jimmy', 'Camp', 'Bay', 'taken', 'West', 'End', 'release']"
Community,Community: Response,"['Vote', 'favorite', 'photo', 'best', 'find', 'category', 'liked', 'photos', 'win']"
Community,Community: Thanks,"['Our', 'meeting', 'past', 'Wednesday', 'diveshop', 'owners', 'managers', 'great', 'The', 'diveshops', 'open', 'forum', 'express', 'concerns', 'cares.\\n\\nThank', 'You', 'Ocean', 'Connections', 'Native', 'Sons', 'Bananarama', 'Coconut', 'Tree', 'Splash', 'Inn', 'Tylls', 'Enomis', 'AKR', 'Tranquil', 'Seas', 'West', 'End', 'Divers', 'Scuba', 'Roatan', 'coming', 'supporting', '\\n\\nWe', 'took', 'many', 'things', 'heart', 'improving', 'communications', 'via', 'FB', 'facetoface', 'updates\\nWe', 'creating', 'new', 'table', 'top', 'display', 'make', 'bracelet', 'sales', 'easier.\\nWe', 'looking', 'getting', ""'fun"", 'video', 'made', 'make', 'easier', 'inform', 'guests', 'divers', 'protected', 'area.\\n\\nThere', 'many', 'suggestions', 'appreciate', 'please', 'know', 'suggestions', 'taken', 'heart', 'taken', 'consideration', '\\n\\nTHANKS', 'support']"
Information,Information,"['Read', 'RMP', 'staff', 'past', 'months']"
Information,Information,"['Hello', 'supporters', '\\nThe', 'RMP', 'like', 'inform', 'progress', 'activities', 'RMP', 'working', 'help', 'protect', 'reefs', '\\nNicholas', 'Bach\\n', '\\nDirector', 'infrastructure', 'communications\\n', '\\nActivities', 'Accomplished', '\\n\\nWork', 'mechanic', '140hp', 'Engine', '\\n\\nOperational', 'patrol', 'SBWE', '\\n\\nCollect', 'fuel', 'boats\\n', '\\nClaro-', 'Cel', 'Phone', 'Plan', 'RMP', 'guard', 'coasts', 'way', 'always', 'credit', 'respond', 'Emergency', 'calls\\n', '\\nConduct', 'Lionfish', 'Workshops\\n', '\\nWork', 'Budget', 'Marine', 'Infrastructure', 'activities', '-', 'MARFUND-KFW', 'Project', '\\nThe', '``', 'Conservation', 'Marine', 'Resources', 'Central', 'America', ""''"", 'Project', 'project', 'within', 'framework', 'bilateral', 'cooperation', 'Mesoamerican', 'Reef', 'region', 'Germany', 'executed', 'Mesoamerican', 'Reef', 'Fund', 'MAR', 'Fund-Fondo', 'SAM', 'co-financed', 'Federal', 'Republic', 'Germany', 'Kreditanstalt', 'f\\xfcr', 'Wiederaufbau', 'KfW', 'German', 'Development', 'Bank', '.\\n', '\\nTry', 'Resolve', 'Internet', 'Email', 'Problems\\n', '\\nMeet', 'Giaco', 'discuss', 'Park', 'Rangers', 'Patrols\\n', '\\nConduct', 'Lionfish', 'Workshop\\n', '\\nMeeting', 'Eldons', 'sign', 'MOU', 'Bags', 'Life', '\\nCampaign', 'campaign', 'consists', 'distributing', 'recycled', 'bags', 'alternatives', 'plastic', 'reduce', 'use', 'plastic\\n', '\\nDiscuss', 'Grant', 'Proposals\\n', '\\nChristi', 'Etches', '\\n\\nDirector', 'Community', 'Development\\n', '\\nActivities', 'Accomplished', '\\nPreparing', '2012', 'Operational', 'Plan', 'Marfund', '-', 'KFW', 'Project\\n', '\\nReforestation', 'Punta', 'Gorda', 'Diamond', 'International\\n', '\\nRestaurant', 'Inspections', 'new', 'Digepesca', 'Inspector', 'In', 'lobster', 'season', 'RMP', 'supported', 'Digepesca', 'annual', 'inspections', 'held', 'around', 'restaurants', 'entire', 'municipality', 'Roat\\xe1n\\n', '\\nMeeting', 'MASPLESCA', 'French', 'Harbour', 'Discuss', 'issues', 'inform', 'fisherman', 'Central', 'America', 'upcoming', 'Law', 'regarding', 'Diving', 'Spiny', 'Lobster', 'Honduras.\\n', '\\nMatra', 'Macpui', '\\nAdministrator', '\\n\\nPreparing', '2012', 'Operational', 'Plan', 'Marfund', '-', 'KFW', 'Project\\n', '\\nGEF-', 'PMAIB', 'Preparing', 'Five', 'Year', 'Final', 'Report', 'Banco', 'Interamericano', 'de', 'Desarrollo\\n', '\\nClaro-', 'Cel', 'Phone', 'Plan', 'RMP', 'guard', 'coasts', 'way', 'always', 'credit', 'respond', 'Emergency', 'calls\\n', '\\nQuick', 'Books', 'Installation', 'In', 'order', 'guarantee', 'Eco', '-', 'Store\\xb4s', 'financial', 'sustainability', 'transparency', 'funds', '\\n\\nMeeting', 'define', 'SBWE', 'demarcation', 'process', 'Agreement', 'SETUR', 'ICF', 'SEDENA', 'SAG', 'RMP', 'Cooperation', 'Coordination', 'physical', 'demarcation', 'bouys', 'signs', 'National', 'Marine', 'Park', 'throughout', 'Bay', 'Islands\\n', '\\nDefining', 'Calendar', 'graphic', 'Stickers', 'Bags', 'Life', 'Campaign', 'Banners\\n', '\\nMeeting', 'Eldons', 'sign', 'MOU', 'Bags', 'Life', 'Campaign\\n\\nThanks', 'support\\nRoatan', 'Marine', 'Park', 'Working', 'together', 'save', 'Roatan', 'reef']"
Information,Information,"['Here', 'total', 'income', 'brought', 'dive', 'shops', 'resorts', 'first', '6', 'months', '2012', 'including', 'tag', 'bracelet', 'sales', 'memberships', 'donations', 'Well', 'done', 'businesses', 'brought', 'lots', 'funds.\\r\\n', 'If', 'dive', 'regularly', 'Roatan', 'let', 'dive', 'Centre', 'know', 'appreciate', 'helping', 'protect', 'conserve', 'Roatan\\xb4s', 'beautiful', 'Reefs.\\r\\n', 'Remember', 'voluntary', 'fee', 'helps', 'keep', 'marine', 'infrastructure', 'divers', 'rely', 'safe', 'helps', 'us', 'continue', 'extensive', 'education', 'programs', '\\r\\nWe', 'need', 'everyone', 'support', 'ever', '\\r\\nThank']"
Information,Information,"['Here', 'total', 'income', 'brought', 'dive', 'shops', 'resorts', 'first', '6', 'months', '2012', 'including', 'tag', 'bracelet', 'sales', 'memberships', 'donations', 'Well', 'done', 'businesses', 'brought', 'lots', 'funds.\\n', 'If', 'dive', 'regularly', 'Roatan', 'let', 'dive', 'Centre', 'know', 'appreciate', 'helping', 'protect', 'conserve', 'Roatan\\xb4s', 'beautiful', 'Reefs.\\n', 'Remember', 'voluntary', 'fee', 'helps', 'keep', 'marine', 'infrastructure', 'divers', 'rely', 'safe', 'helps', 'us', 'continue', 'extensive', 'education', 'programs', '\\nWe', 'need', 'everyone', 'support', 'ever', '\\nThank']"
Information,Information,"['LARGER', 'FORMAT', 'FOR', 'THE', 'TOTAL', 'RAISED', 'FOR', 'RMP', 'FROM', 'JANUARY', 'TO', '2012', 'INCLUDING', 'DONATIONS', 'MEMEBERSHIPS', 'AND', 'BRACELETS']"
Information,Information,"['LARGER', 'FORMAT', 'FOR', 'THE', 'TOTAL', 'RAISED', 'FOR', 'RMP', 'FROM', 'JANUARY', 'TO', 'JULY', '2012', 'INCLUDING', 'DONATIONS', 'MEMBERSHIPS', 'AND', 'BRACELETS']"
Information,Information,"['ROATAN', 'MARINE', 'PARK', 'WEEKLY', 'ACHIEVEMENTS\\n\\nNicholas', 'Bach', '\\nConducted', '5', 'lionfish', 'licensing', 'sessions', 'certified', '16', 'divers', 'snorkelers', 'West', 'End', 'Barefoot', 'key', 'Turquoise', 'Bay\\nFinally', 'Suzuki', '140hp', 'engine', 'working', 'well', 'establishing', 'boat', 'maintenance', 'routine', 'Park', 'Ranger\\nRemoved', 'damaged', 'panga', 'water', 'took', 'Gibson', 'Bight', 'repair', 'currently', 'back', 'water', '\\nMet', 'south', 'side', 'stakeholders', 'discuss', 'continuing', 'support\\nAssisted', 'two', 'arrests', 'first', 'Saturday', 'night', 'Sunday', 'morning\\nHad', 'technician', 'fix', 'office', 'computers', 'assist', 'reactivating', 'work', 'emails\\nMet', 'dive', 'shop', 'owners', 'around', 'island\\n', '\\nChristi', 'Etches', '\\nInterview', 'Roatan', 'Magazine', '\\nMangrove', 'date\\nBags', 'Life', 'Design\\n', '\\nMarta', 'Macpui', 'Accountings\\nBracelets', 'Tokens', 'Control\\nUpdate', 'Membership', 'Database']"
Information,Information,"['Every', 'year', 'thousands', 'marine', 'species', 'die', 'contact', 'ocean-borne', 'plastic', 'bags', 'The', 'animals', 'may', 'mistake', 'bags', 'food', 'jellyfish', 'simply', 'become', 'entangled', 'Plastic', 'bags', 'take', '1,000', 'years', 'break', 'even', 'animal', 'dies', 'decays', 'ingesting', 'bag', 'plastic', 're-enters', 'environment', 'posing', 'continuing', 'threat', 'wildlife', '\\r\\nWhile', 'plastic', 'bags', 'eventually', 'break', 'tiny', 'particles', 'smaller', 'sea', 'creatures', 'may', 'still', 'eat', 'sand-sized', 'fragments', 'concentrate', 'toxic', 'chemicals', 'bodies.\\r\\n\\r\\nTrying', 'reduce', 'use', 'plastic', 'bags', 'negative', 'impact', 'RMP', 'officially', 'launched', 'Bags', 'Life', 'Campaign.\\r\\nYou', 'purchase', 'Bag', 'Life', 'RMP', 'Eco', '-', 'Store', 'Eldons', 'supermarket', 'Mangiamo', 'Plaza', 'Mar.\\r\\n\\r\\nReduce', 'Footprint\\r\\n\\r\\nSay', 'Plastic']"
Information,Information,"['Last', 'week', 'spend', '3', 'days', 'patrolling', 'area', 'Camp', 'Bay', 'Paya', 'Bay', 'due', 'reports', 'fishermen', 'capturing', 'turtles.\\n\\nAlso', 'park', 'rangers', 'took', '3', 'gill', 'nets', 'away', 'Sandy', 'Bay', 'area']"
Action,Action: Sell,"['Yesterday', 'saw', 'young', 'local', 'woman', 'Coxen', 'Hole', 'one', 'bags', 'We', 'complemented', 'asked', 'got', 'replied', '``', 'At', 'Plaza', 'Mar', ""'re"", '80lps', '``', '\\nIf', 'bought', 'reusable', 'shopping', 'bags', 'yet', 'available', 'Plaza', 'Mar', 'Eldons', 'Marine', 'Park', 'Eco', 'Store', 'West', 'End']"
Community,Community: Response,"['What', 'think', 'sand', 'castle', 'building', 'contest', 'Annual', 'Birthday', 'Bash']"
Action,Action: Sell,"['These', 'photos', 'displayed', 'calendar', 'available', 'Roatan', 'Marine', 'Park', 'Eco-Store', 'West', 'End', 'Roatan']"
Community,Community: Thanks,"['2nd', 'place', 'Best', 'Find', 'Ready', 'pop', 'Blue', 'Channel', 'Caroline', 'Power', 'pregnant', 'shrimp']"
Action,Action: Promo,"['MPA', 'Enforcement', 'Program', '27', 'Aug', '-', '1', 'Sept', '2012', 'Great', 'opportunity', 'networking', 'improve', 'techniques', 'Patrols']"
Action,Action: Sell,"['2013', 'stone', 'throw', 'away', 'Pick', '2013', 'calendar', 'TODAY', 'Shipping', 'US', 'Canada', 'possible']"
Information,Information,"['Good', 'Morning', 'Friends', '\\nFor', 'convenience', 'would', 'like', 'get', 'contact', 'us', 'please', 'call', 'office', '2445-4206', '2445-4208', '\\nin', 'case', 'emergency', 'poaching', 'please', 'call', '3349-4138', '24/7', 'hotline', '\\nFor', 'Southside', 'call', 'Giacomo', '3171-5982\\nFor', 'Education', 'Community', 'issues', 'call', 'Christi', '3171-6365\\nFor', 'Infrastructure', 'problems', 'call', 'Nick', '3320-6940\\nFor', 'Buying/Selling', 'anything', 'Admin', 'call', 'Marta', '3392-834']"
Community,Community: Thanks,"['The', 'RMP', 'thanks', 'support', 'members', 'supporters', 'would', 'like', 'give', 'special', 'thanks', 'occasion', 'South', 'Side', 'Supporters', 'helped', 'reactivate', 'South', 'Side', 'RMP', '\\nBarefoot', 'Cay', 'Dive', 'Shop', 'Coco', 'View', 'Dock', 'Side', 'Divers', 'Subway', 'We', 'would', 'also', 'want', 'thank', 'permanent', 'care', 'love', 'patrols', 'French', 'Cay', 'Mr.', 'Sherman', 'Arch']"
